"","outputs"
"1151",0
"1152",15.14
"1153",0
"1154",142.47
"1155",0
"1156",0
"1157",282.06
"1158",573.62
"1159",0
"1160",0
"1161",4.84
"1162",0
"1163",329.71
"1164",77.69
"1165",152.31
"1166",0
"1167",14.89
"1168",672.44
"1169",45.88
"1170",0
"1171",0
"1172",0
"1173",131.41
"1174",0
"1175",576.9
"1176",0
"1177",19.4
"1178",0
"1179",0
"1180",13.97
"1181",0
"1182",379.65
"1183",16.67
"1184",0
"1185",0
"1186",0
"1187",0
"1188",79.57
"1189",0
"1190",0
"1191",0
"1192",283.71
"1193",56.46
"1194",0
"1195",258.25
"1196",86.41
"1197",0
"1198",0
"1199",0
"1200",13.07
"1201",181.36
"1202",0
"1203",0
"1204",46.74
"1205",16.48
"1206",2.37
"1207",0
"1208",0
"1209",0
"1210",59.55
"1211",0
"1212",0
"1213",0
"1214",0
"1215",67.81
"1216",0
"1217",0
"1218",0
"1219",44.03
"1220",0
"1221",0
"1222",0
"1223",234.36
"1224",0
"1225",7.12
"1226",353.56
"1227",0
"1228",0
"1229",0
"1230",0
"1231",240.11
"1232",388.93
"1233",0
"1234",11.91
"1235",0
"1236",0
"1237",143.48
"1238",0
"1239",171.31
"1240",25.95
"1241",0
"1242",123.37
"1243",0
"1244",45.88
"1245",466.56
"1246",0
"1247",0
"1248",166.36
"1249",0
"1250",82.51
"1251",0
"1252",12.48
"1253",0
"1254",0
"1255",0
"1256",0
"1257",0
"1258",118.93
"1259",46.56
"1260",552.31
"1261",0
"1262",268.94
"1263",0
"1264",0
"1265",35.74
"1266",56.55
"1267",0
"1268",14.97
"1269",0
"1270",0
"1271",0
"1272",333.11
"1273",0
"1274",0
"1275",0
"1276",73.52
"1277",0
"1278",243.68
"1279",112.24
"1280",0
"1281",70.78
"1282",78.69
"1283",13.3
"1284",0
"1285",72.98
"1286",74.1
"1287",0
"1288",0
"1289",0
"1290",0
"1291",0
"1292",0
"1293",0
"1294",0
"1295",0
"1296",0
"1297",0
"1298",5.73
"1299",403.31
"1300",0
"1301",13.02
"1302",0
"1303",0
"1304",0
"1305",0
"1306",0
"1307",30.94
"1308",0
"1309",0
"1310",28.72
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",34.29
"1317",219.34
"1318",59.82
"1319",0
"1320",0
"1321",143.68
"1322",0
"1323",0
"1324",13.38
"1325",0
"1326",64.6
"1327",35
"1328",0
"1329",0
"1330",0
"1331",0
"1332",0
"1333",0
"1334",0
"1335",36.14
"1336",0
"1337",40.98
"1338",39.09
"1339",0
"1340",0
"1341",0
"1342",199.18
"1343",0
"1344",0
"1345",111.69
"1346",0
"1347",0
"1348",89.44
"1349",0
"1350",0
"1351",0
"1352",0
"1353",0
"1354",662.05
"1355",0
"1356",0
"1357",554.93
"1358",106.77
"1359",0
"1360",244.42
"1361",127
"1362",29.83
"1363",0
"1364",0
"1365",0
"1366",0
"1367",33.07
"1368",0
"1369",50.39
"1370",0
"1371",0
"1372",382.17
"1373",0
"1374",0
"1375",0
"1376",21.31
"1377",26.48
"1378",0
"1379",128.97
"1380",0
"1381",113.62
"1382",0
"1383",50.81
"1384",0
"1385",64.77
"1386",0
"1387",0
"1388",595.25
"1389",178.26
"1390",0
"1391",0
"1392",0
"1393",0
"1394",0
"1395",0
"1396",0
"1397",6
"1398",0
"1399",0
"1400",25.28
"1401",442.42
"1402",151.75
"1403",0
"1404",0
"1405",25.86
"1406",0
"1407",140.43
"1408",308.16
"1409",0
"1410",0
"1411",0
"1412",128.76
"1413",0
"1414",0
"1415",0
"1416",0
"1417",72.49
"1418",0
"1419",128.06
"1420",0
"1421",0
"1422",357.49
"1423",10.99
"1424",0
"1425",0
"1426",0
"1427",15.39
"1428",0
"1429",0
"1430",21.12
"1431",308.97
"1432",0
"1433",66.84
"1434",71.89
"1435",0
"1436",0
"1437",0
"1438",0
"1439",67.89
"1440",0
"1441",0
"1442",0
"1443",0
"1444",2.25
"1445",0
"1446",0
"1447",408.75
"1448",2162.9
"1449",0
"1450",0
"1451",0
"1452",0
"1453",59.71
"1454",104.97
"1455",0
"1456",0
"1457",68.31
"1458",0
"1459",0
"1460",0
"1461",0
"1462",0
"1463",0
"1464",41.8
"1465",0
"1466",0
"1467",111.3
"1468",175.06
"1469",0
"1470",60.62
"1471",660.84
"1472",0
"1473",0
"1474",0
"1475",21.34
"1476",305.97
"1477",0
"1478",0
"1479",0
"1480",0
"1481",230.53
"1482",0
"1483",0
"1484",0
"1485",0
"1486",0
"1487",0
"1488",0
"1489",0
"1490",480.96
"1491",0
"1492",115.89
"1493",0
"1494",97.52
"1495",242.5
"1496",25
"1497",229.81
"1498",46.77
"1499",0
"1500",0
"1501",0
"1502",0
"1503",0
"1504",0
"1505",0
"1506",0
"1507",0
"1508",0
"1509",0
"1510",0
"1511",64.23
"1512",0
"1513",0
"1514",100.33
"1515",0
"1516",33.97
"1517",0
"1518",0
"1519",0
"1520",229.25
"1521",0
"1522",369.51
"1523",523.42
"1524",0
"1525",13.43
"1526",0
"1527",0
"1528",0
"1529",0
"1530",0
"1531",0
"1532",385.01
"1533",142.39
"1534",0
"1535",15.9
"1536",0
"1537",395.74
"1538",0
"1539",26.2
"1540",0
"1541",110.14
"1542",34.64
"1543",199.04
"1544",473.5
"1545",0
"1546",73.09
"1547",0
"1548",268.65
"1549",33
"1550",70.32
"1551",14.87
"1552",77.01
"1553",0
"1554",140.21
"1555",215.79
"1556",102.23
"1557",227.29
"1558",93.25
"1559",0
"1560",0
"1561",0
"1562",139.81
"1563",83.62
"1564",0
"1565",18.04
"1566",0
"1567",0
"1568",68.15
"1569",319.33
"1570",0
"1571",0
"1572",0
"1573",18.33
"1574",0
"1575",255.26
"1576",0
"1577",122.46
"1578",554.89
"1579",94.93
"1580",184.26
"1581",0
"1582",133.35
"1583",816.94
"1584",76.41
"1585",91.38
"1586",195.05
"1587",38.97
"1588",0
"1589",0
"1590",314.37
"1591",178.45
"1592",0
"1593",0
"1594",317.01
"1595",0
"1596",71.47
"1597",126.41
"1598",198.86
"1599",0
"1600",362.43
"1601",0
"1602",109.01
"1603",0
"1604",0
"1605",0
"1606",0
"1607",31.13
"1608",25.56
"1609",0
"1610",0
"1611",7.9
"1612",543.55
"1613",0
"1614",199.01
"1615",0
"1616",0
"1617",70.72
"1618",0
"1619",150.9
"1620",101.96
"1621",171.19
"1622",0
"1623",19.82
"1624",0
"1625",0
"1626",100.99
"1627",0
"1628",0
"1629",0
"1630",19.66
"1631",0
"1632",0
"1633",93
"1634",155.14
"1635",173.31
"1636",0
"1637",36.95
"1638",231.84
"1639",33.24
"1640",0
"1641",275.85
"1642",0
"1643",102.28
"1644",131.13
"1645",149.83
"1646",0
"1647",0
"1648",0
"1649",0
"1650",0
"1651",0
"1652",89.65
"1653",0
"1654",0
"1655",75.65
"1656",0
"1657",0
"1658",0
"1659",0
"1660",0
"1661",0
"1662",300.18
"1663",0
"1664",0
"1665",7.16
"1666",10.87
"1667",25.44
"1668",0
"1669",52.01
"1670",0
"1671",0
"1672",36.36
"1673",123.42
"1674",0
"1675",0
"1676",0
"1677",300.29
"1678",0
"1679",0
"1680",16.98
"1681",59.57
"1682",136.36
"1683",0
"1684",0
"1685",0
"1686",0
"1687",0
"1688",68.52
"1689",0
"1690",0
"1691",249.85
"1692",0
"1693",0
"1694",0
"1695",671.17
"1696",186.97
"1697",0
"1698",0
"1699",0
"1700",0
"1701",0
"1702",374.12
"1703",2.45
"1704",16.26
"1705",0
"1706",7.18
"1707",0
"1708",0
"1709",0
"1710",132.47
"1711",0
"1712",0
"1713",318.87
"1714",0
"1715",66.33
"1716",0
"1717",430.62
"1718",0
"1719",210.07
"1720",0
"1721",0
"1722",0
"1723",0
"1724",107.4
"1725",427.98
"1726",0
"1727",19.37
"1728",0
"1729",0
"1730",0
"1731",267.81
"1732",64.35
"1733",118.78
"1734",0
"1735",28
"1736",0
"1737",81.25
"1738",8.52
"1739",0
"1740",0
"1741",0
"1742",0
"1743",0
"1744",192.79
"1745",0
"1746",256.51
"1747",0
"1748",288.86
"1749",0
"1750",277.13
"1751",498.39
"1752",0
"1753",19.34
"1754",490.29
"1755",13.78
"1756",142.19
"1757",114.49
"1758",0
"1759",0
"1760",0
"1761",158.92
"1762",0
"1763",48.17
"1764",0
"1765",0
"1766",0
"1767",118.25
"1768",0
"1769",0
"1770",0
"1771",0
"1772",46.33
"1773",0
"1774",110.2
"1775",28.74
"1776",74.48
"1777",170.48
"1778",0
"1779",457.85
"1780",323.55
"1781",0
"1782",21.51
"1783",66.01
"1784",0
"1785",0
"1786",0
"1787",0
"1788",0
"1789",0
"1790",213.54
"1791",0
"1792",0
"1793",0
"1794",281.28
"1795",336.13
"1796",150.9
"1797",0
"1798",277.39
"1799",0
"1800",0
"1801",80.37
"1802",0
"1803",0
"1804",24.38
"1805",0
"1806",0
"1807",0
"1808",0
"1809",0
"1810",0
"1811",52.79
"1812",0
"1813",0
"1814",16.38
"1815",0
"1816",0
"1817",0
"1818",6.65
"1819",422.01
"1820",0
"1821",89.26
"1822",0
"1823",449.64
"1824",0
"1825",0
"1826",681.39
"1827",0
"1828",0
"1829",0
"1830",40.86
"1831",302.06
"1832",0
"1833",0
"1834",0
"1835",0
"1836",0
"1837",418.37
"1838",0
"1839",0
"1840",34.48
"1841",140.41
"1842",381.23
"1843",0
"1844",95.12
"1845",137.96
"1846",101.32
"1847",0
"1848",38.21
"1849",0
"1850",119.65
"1851",28.23
"1852",0
"1853",106.68
"1854",0
"1855",0
"1856",0
"1857",0
"1858",134.15
"1859",64.87
"1860",27478.8799999998
